3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
